main-80-source_lang 1 [23.0, 83.0, 306.0, 152.0] field [23, 75, 306, 30] row 16 
main-80-source_lang 2 [23.0, 108.0, 306.0, 152.0] field [23, 75, 306, 30] row 16 
main-80-target_lang 1 [371.0, 83.0, 306.0, 152.0] field [371, 75, 306, 30] row 16 
main-80-target_lang 2 [371.0, 108.0, 306.0, 152.0] field [371, 75, 306, 30] row 16 
main-80-hotkey_mode_combo 1 [23.0, 245.0, 208.0, 88.0] field [23, 237, 208, 30] row 16 
main-80-hotkey_mode_combo 2 [23.0, 270.0, 208.0, 88.0] field [23, 237, 208, 30] row 16 
main-80-hotkey_source_combo 1 [237.0, 57.0, 199.0, 152.0] field [237, 237, 199, 30] row 16 
main-80-hotkey_source_combo 2 [237.0, 82.0, 199.0, 152.0] field [237, 237, 199, 30] row 16 
main-80-hotkey_target_combo 1 [478.0, 57.0, 199.0, 152.0] field [478, 237, 199, 30] row 16 
main-80-hotkey_target_combo 2 [478.0, 82.0, 199.0, 152.0] field [478, 237, 199, 30] row 16 
settings-80-0-2 1 [501.0, 95.0, 180.0, 98.0] field [501, 85, 180, 32] row 18 
settings-80-0-2 2 [501.0, 120.0, 180.0, 98.0] field [501, 85, 180, 32] row 18 
settings-80-0-3 1 [501.0, 133.0, 180.0, 152.0] field [501, 123, 180, 32] row 18 
settings-80-0-3 2 [501.0, 158.0, 180.0, 152.0] field [501, 123, 180, 32] row 18 
settings-80-0-4 1 [497.0, 171.0, 199.0, 120.0] field [501, 161, 180, 32] row 28 
settings-80-0-4 2 [497.0, 196.0, 199.0, 120.0] field [501, 161, 180, 32] row 28 
settings-80-2-3 1 [341.0, 142.0, 147.0, 24.0] field [341, 132, 147, 32] row 16 
settings-80-2-3 2 [341.0, 167.0, 147.0, 168.0] field [341, 132, 147, 32] row 16 
settings-80-2-4 1 [534.0, 142.0, 147.0, 168.0] field [534, 132, 147, 32] row 16 
settings-80-2-4 2 [534.0, 167.0, 147.0, 168.0] field [534, 132, 147, 32] row 16 
main-100-source_lang 1 [18.0, 66.0, 306.0, 152.0] field [23, 75, 306, 30] row 16 
main-100-source_lang 2 [23.0, 108.0, 306.0, 152.0] field [23, 75, 306, 30] row 16 
